Product,Feature,fog,php-opencloud,jclouds,pyrax,pkgcloud,openstack.net,gorax,gophercloud
General,Handle ratelimit failures*,"",done,done,done,"","","",""
General,Caches auth token*,done,done,done,done,done,done,done,done
General,Re-authenticates if necessary*,done,done,done,done,done,done,"",""
General,Does NOT store username or API key in persistent storage*,done,done,done,done,"",done,done,done
General,RAX:KSKEY authentication*,"",done,done,done,"","","",done
General,90% unit test coverage*,"","",done,done,"","",done,done
General,Smoketest with RAX public cloud*,"",done,done,"","","",done,done
General,Service catalog — select endpoint*,done,done,done,done,done,done,"",done
General,Wait for status change of object*,done,done,done,done,done,done,"",done
Cloud Servers,List Servers,done,done,done,done,done,done,done,done
Cloud Servers,Create Server,done,done,done,done,done,done,done,done
Cloud Servers,Get Server Details,done,done,done,done,done,done,done,done
Cloud Servers,Support scheduler hints*,"","","","","","","",""
Cloud Servers,Delete Server,done,done,done,done,done,done,done,done
Cloud Servers,Update Server,done,done,done,done,done,done,done,done
Cloud Servers,Support AccessIP*,done,done,done,done,"",done,done,done
Cloud Servers,List addresses,done,done,done,done,done,done,"",done
Cloud Servers,List addresses by network,done,done,done,done,done,done,"",done
Cloud Servers,Support IPv6*,done,done,done,done,done,done,done,done
Cloud Servers,Support DiskConfig on server create*,done,done,"",done,done,done,done,done
Cloud Servers,Change Password,done,done,done,done,done,done,done,done
Cloud Servers,Reboot server,done,done,done,done,done,done,done,done
Cloud Servers,Rebuild server,done,done,done,done,done,done,done,done
Cloud Servers,Resize server,done,done,done,done,done,done,done,done
Cloud Servers,Confirm resized server,done,done,done,done,done,done,done,done
Cloud Servers,Revert Resized,done,done,done,done,done,done,done,done
Cloud Servers,Create Image,done,done,done,done,done,done,"",""
Cloud Servers,Rescue server,done,done,"",done,"",done,done,""
Cloud Servers,Unrescue server,done,done,"",done,"",done,done,""
Cloud Servers,List Volumes^,done,done,done,done,done,done,"",""
Cloud Servers,Attach Volume^*,done,done,done,done,done,done,"",""
Cloud Servers,Get Volume Details^*,done,done,done,done,done,done,"",""
Cloud Servers,Delete Volume^,done,done,done,done,done,done,"",""
Cloud Servers,List Images,done,done,done,done,done,done,done,done
Cloud Servers,Get Image Details,done,done,done,done,done,done,"",done
Cloud Servers,Delete Image,done,done,done,done,done,done,"",done
Cloud Servers,List Flavors,done,done,done,done,done,done,done,done
Cloud Servers,Get Flavor Details,done,done,done,done,done,done,"",done
Cloud Servers,Server Bandwidth (RAX)*,"",done,"",done,"","","",""
Cloud Servers,Show server metadata,done,done,done,done,"",done,"",done
Cloud Servers,Create or replace server metadata items,done,done,done,done,"",done,"",""
Cloud Servers,Update server metadata items,done,done,done,done,"",done,"",""
Cloud Servers,Delete server metadata item,done,done,done,done,"",done,"",""
Cloud Servers,Create Keypair*,done,"",done,done,done,"","",done
Cloud Servers,List Keypair*,done,"",done,done,done,"","",done
Cloud Servers,Delete Keypair*,done,"",done,done,done,"","",done
Cloud Networks,Create Network,done,done,"",done,done,done,"",done
Cloud Networks,Delete Network,done,done,"",done,done,done,"",done
Cloud Networks,List Networks,done,done,"",done,done,done,"",done
Cloud Networks,Create Server attached to Cloud Network*,done,done,"",done,done,done,"",done
Cloud Networks,Handle special 'public' and 'private' networks seamlessly*,"",done,"",done,done,done,"",""
Cloud Files,Show account details and list containers,done,done,done,done,done,done,"",done
Cloud Files,Get account metadata,done,done,done,done,"",done,"",done
Cloud Files,Show container details and list objects,done,done,done,done,done,done,"",done
Cloud Files,Object Filters*,"",done,done,done,"",done,"",done
Cloud Files,Create container,done,done,done,done,done,done,"",done
Cloud Files,Delete container,done,done,done,done,done,done,"",done
Cloud Files,Create or update container metadata,done,done,done,done,done,done,"",done
Cloud Files,Get object content and metadata,done,done,done,done,done,done,"",done
Cloud Files,Create or update object,done,done,done,done,done,done,"",done
Cloud Files,Large object support*,done,done,done,done,"",done,"",""
Cloud Files,Chunking*,done,done,done,done,"",done,"",""
Cloud Files,Copy object,done,done,done,done,"",done,"",done
Cloud Files,delete object,done,done,done,done,done,done,"",done
Cloud Files,Show object metadata,done,done,done,done,done,done,"",done
Cloud Files,List CDN-enabled containers,done,done,done,done,done,done,"",done
Cloud Files,CDN-enable and CDN-disable a container,done,done,done,done,done,done,"",done
Cloud Files,List metadata for CDN-enabled container,done,done,done,done,done,done,"",done
Cloud Files,Update CDN-enabled container metadata,done,done,done,done,done,done,"",done
Cloud Files,CDN Streaming Container*,done,done,done,done,done,done,"",""
Cloud Files,Delete CDN-enabled object,done,done,done,done,done,done,"",done
Cloud Files,Create Static Website*,done,done,done,done,"",done,"",""
Cloud Files,Create TEMP_URL*,"",done,done,done,"","","",""
Cloud Files,Bulk Delete^,done,"","",done,"",done,"",done
Cloud Files,Bulk Insert (Extract Archive)*,"","","","","","","",done
Cloud Load Balancers,List load balancers,done,done,"",done,done,"","",""
Cloud Load Balancers,Create load balancer,done,done,"",done,done,"","",""
Cloud Load Balancers,Update load balancer properties,done,done,"",done,done,"","",""
Cloud Load Balancers,Delete load balancer,done,done,"",done,done,"","",""
Cloud Load Balancers,Show load balancer statistics,done,done,"",done,done,"","",""
Cloud Load Balancers,List Nodes,done,done,"",done,done,"","",""
Cloud Load Balancers,Add Node,done,done,"",done,done,"","",""
Cloud Load Balancers,Update node,done,done,"",done,done,"","",""
Cloud Load Balancers,Delete node,done,done,"",done,done,"","",""
Cloud Load Balancers,List Virtual Ips,done,done,"",done,done,"","",""
Cloud Load Balancers,List Allowed Domains,"",done,"",done,done,"","",""
Cloud Load Balancers,Add IPV6 IP*,done,done,"",done,done,"","",""
Cloud Load Balancers,Delete virtual IP,done,done,"",done,done,"","",""
Cloud Load Balancers,Show historical usage,done,done,"",done,done,"","",""
Cloud Load Balancers,Create or update access list,done,done,"",done,done,"","",""
Cloud Load Balancers,Delete Access List,done,done,"",done,done,"","",""
Cloud Load Balancers,Monitor Health*,done,done,"",done,done,"","",""
Cloud Load Balancers,Connections*,done,done,"",done,done,"","",""
Cloud Load Balancers,HTTP/HTTPS*,done,done,"",done,done,"","",""
Cloud Load Balancers,Manage Session Persistence*,done,done,"",done,done,"","",""
Cloud Load Balancers,Log Connections*,done,done,"",done,done,"","",""
Cloud Load Balancers,Throttle Connections*,done,done,"",done,done,"","",""
Cloud Load Balancers,Content Caching*,done,done,"",done,done,"","",""
Cloud Load Balancers,List load balancing protocols,done,done,"",done,done,"","",""
Cloud Load Balancers,List load balancing algorithms,done,done,"",done,done,"","",""
Cloud Load Balancers,Update SSL termination configuration,done,done,"",done,done,"","",""
Cloud Load Balancers,Show load balancer metadata,"",done,"",done,"","","",""
Cloud Load Balancers,Add load balancer metadata,"",done,"",done,"","","",""
Cloud Load Balancers,Update load balancer metadata item,"",done,"",done,"","","",""
Cloud Load Balancers,Delete load balancer metadata item,"",done,"",done,"","","",""
Cloud Databases,List all database instances,done,done,"",done,done,"","",""
Cloud Databases,Create database instance,done,done,"",done,done,"","",""
Cloud Databases,List database instance status and details,done,done,"",done,done,"","",""
Cloud Databases,Delete database instance,done,done,"",done,done,"","",""
Cloud Databases,Enable Root User,done,done,"",done,"","","",""
Cloud Databases,List root-enabled status,done,done,"","","","","",""
Cloud Databases,Restart Instance,done,done,"",done,"","","",""
Cloud Databases,Resize the instance,done,done,"",done,"","","",""
Cloud Databases,Resize the instance volume,done,done,"",done,"","","",""
Cloud Databases,Create Database,done,done,"",done,"","","",""
Cloud Databases,List databases for instance,done,done,"",done,"","","",""
Cloud Databases,Delete Database,done,done,"",done,"","","",""
Cloud Databases,Create User,done,done,"",done,"","","",""
Cloud Databases,List users in database instance,done,done,"",done,"","","",""
Cloud Databases,Delete user,done,done,"",done,"","","",""
Cloud Databases,Change user(s) password,"","","",done,"","","",""
Cloud Databases,List User Access,"","","",done,"","","",""
Cloud Databases,Grant User Access,"","","",done,"","","",""
Cloud Databases,Revoke User Access,"","","",done,"","","",""
Cloud Databases,List Flavors,done,done,"",done,"","","",""
Cloud Databases,List Flavor by ID,done,done,"",done,"","","",""
Cloud Databases,Create Backup,"","","",done,"","","",""
Cloud Databases,List Backups,"","","",done,"","","",""
Cloud Databases,List backup by ID,"","","",done,"","","",""
Cloud Databases,Delete Backup,"","","",done,"","","",""
Cloud Databases,List Backups for Instance,"","","",done,"","","",""
Cloud Databases,Restore Backup,"","","",done,"","","",""
Cloud DNS,List limits,"",done,"",done,"","","",""
